차종,출시 가격,연비,연료
2021 GV70,"4,791~5,724만원",8.5~13.5km/ℓ,"디젤,가솔린"
2020 아반떼,"1,570~2,779만원",10.5~15.4km/ℓ,"가솔린,LPG"
2021 스타리아,"2,516~4,412만원",10.3~12.3km/ℓ,디젤
2021 K8 하이브리드,"3,698~4,287만원",17.1~18.0km/ℓ,"하이브리드,가솔린,전기"
2021 K8,"3,220~4,526만원",7.7~12.0km/ℓ,"가솔린,LPG"
2021 그랜저,"3,182~4,388만원",7.4~11.9km/ℓ,"가솔린,LPG"
2021 투싼,"2,435~3,567만원",11.0~14.8km/ℓ,"디젤,가솔린"
2021 셀토스,"1,934~2,896만원",10.9~17.6km/ℓ,"디젤,가솔린"
2021 K5,"2,356~3,151만원",9.8~13.8km/ℓ,"가솔린,LPG"
2020 팰리세이드,"3,573~5,563만원",8.9~12.1km/ℓ,"디젤,가솔린"
2021 카니발,"3,160~4,354만원",8.9~13.1km/ℓ,"디젤,가솔린"
2020 싼타페,"2,975~4,212만원",9.5~14.2km/ℓ,"디젤,가솔린"
2021 G70,"4,035~4,830만원",8.9~14.9km/ℓ,"디젤,가솔린"
2022 K9,가격정보없음,정보없음,가솔린
2020 GV80,"6,067~6,951만원",8.0~11.8km/ℓ,"디젤,가솔린"
